Timestamp,Student ID Number,What is your major or field of study?,How much are you satisfied with online learning?,How frequently do you attend online classes? (Rate out of 5),Which platform(s) do you use for online classes?,How would you rate the overall level of interaction during online classes?,What methods do your teachers use to encourage student participation in online classes?,Do you feel comfortable asking questions or seeking clarification during online classes? (Rate out of 5),Which communication tools are commonly used in your online classes?,To what extent do you feel engaged during online classes? (Rate out of 5),Are there any barriers that hinder your active participation in online classes?,Do you feel that teachers are responsive to student queries and concerns in a timely manner by taking feedback? (Rate out of 5),How do you motivate yourself to stay focused and disciplined in an online learning environment?,How long can you tolerate being in class and can sit quietly? (Rate out of 5),How do you think the interaction in online classes could be improved?,Which method do you prefer: online or offline?
2/11/2024 12:00:18,21CS072,CSE,4,4,"Zoom, Microsoft Teams, Google Meet",3,"Breakout group discussions, Encouraging audio/video contributions, Providing opportunities for student presentations",3,Audio & Video Both,3,"Poor internet connection, Shyness or reluctance to speak in an online setting, Limited access to course materials or resources, Lack of interaction opportunities created by teachers",3,"Setting specific goals and deadlines, Establishing a routine or schedule, Seeking support from classmates or peers",5,"Implementing more interactive activities (quizzes, polls, group discussions), Encouraging more student participation through audio/video features, Organizing smaller breakout sessions for focused discussions, Offering regular feedback and communication from teachers",Offline
2/11/2024 13:23:16,21CS060,CSE,2,3,"Zoom, Microsoft Teams",3,"Breakout group discussions, Q&A sessions",2,"Chat, Audio",3,"Technical issues with devices, Lack of a quiet or suitable study environment",3,"Taking regular breaks, Seeking support from classmates or peers",3,"Encouraging more student participation through audio/video features, Offering regular feedback and communication from teachers",Offline
2/11/2024 15:38:56,23BSIT090,IT,4,4,"Zoom, Microsoft Teams, Google Meet",4,"Live polls and quizzes, Virtual hands-raising or participation features, Collaborative online documents or projects, Q&A sessions, Providing opportunities for student presentations",5,Audio & Video Both,4,"Poor internet connection, Technical issues with devices",5,"Setting specific goals and deadlines, Creating a dedicated study space, Taking regular breaks, Establishing a routine or schedule, Seeking support from classmates or peers, Participating in virtual study groups",5,"Implementing more interactive activities (quizzes, polls, group discussions), Organizing smaller breakout sessions for focused discussions",Offline
2/11/2024 16:17:28,20CE049 ,CE,4,3,"Zoom, Microsoft Teams, Google Meet",3,"Interactive chat sessions, Virtual hands-raising or participation features, Encouraging audio/video contributions, Q&A sessions, Providing opportunities for student presentations",4,"Chat, Audio & Video Both",3,"Poor internet connection, Technical issues with devices",4,Creating a dedicated study space,3,"Implementing more interactive activities (quizzes, polls, group discussions), Encouraging more student participation through audio/video features, Organizing smaller breakout sessions for focused discussions",Online
2/11/2024 16:56:09,21CS034 +,CSE,5,5,"Zoom, Microsoft Teams",3,"Live polls and quizzes, Virtual hands-raising or participation features, Collaborative online documents or projects, Encouraging audio/video contributions, Q&A sessions, Providing opportunities for student presentations",4,Audio & Video Both,3,"Shyness or reluctance to speak in an online setting, Limited access to course materials or resources",4,"Creating a dedicated study space, Taking regular breaks, Establishing a routine or schedule",1,Providing clearer instructions and guidelines for online interactions,Online
2/11/2024 17:06:56,22AIML023,AIML,5,4,Zoom,3,"Live polls and quizzes, Interactive chat sessions",3,Chat,3,Lack of a quiet or suitable study environment,1,"Setting specific goals and deadlines, Creating a dedicated study space",5,Encouraging more student participation through audio/video features,Online
2/11/2024 17:12:54,22CS035,CSE,4,4,"Microsoft Teams, Google Meet",5,"Collaborative online documents or projects, Encouraging audio/video contributions, Q&A sessions, Providing opportunities for student presentations",3,"Chat, Audio, Audio & Video Both",4,"Poor internet connection, Technical issues with devices",5,"Setting specific goals and deadlines, Creating a dedicated study space, Taking regular breaks, Establishing a routine or schedule, Seeking support from classmates or peers, Participating in virtual study groups",2,"Implementing more interactive activities (quizzes, polls, group discussions), Providing clearer instructions and guidelines for online interactions, Organizing smaller breakout sessions for focused discussions, Offering regular feedback and communication from teachers",Offline
2/11/2024 17:16:01,22CS053 ,CSE,2,3,"Zoom, Microsoft Teams, Google Meet",2,"Interactive chat sessions, Virtual hands-raising or participation features, Q&A sessions",4,"Chat, Audio",3,"Poor internet connection, Technical issues with devices, Lack of a quiet or suitable study environment",3,"Setting specific goals and deadlines, Creating a dedicated study space, Seeking support from classmates or peers",4,"Implementing more interactive activities (quizzes, polls, group discussions), Organizing smaller breakout sessions for focused discussions",Offline
2/11/2024 17:29:37,22CS032,CSE,3,3,Microsoft Teams,1,Q&A sessions,2,"Chat, Audio & Video Both",1,"Lack of a quiet or suitable study environment, Lack of interaction opportunities created by teachers",2,Setting specific goals and deadlines,2,"Providing clearer instructions and guidelines for online interactions, Organizing smaller breakout sessions for focused discussions",Offline
2/11/2024 18:18:48,22EC008,EC,3,2,"Zoom, Microsoft Teams, Google Meet",3,"Live polls and quizzes, Breakout group discussions, Interactive chat sessions, Q&A sessions, Providing opportunities for student presentations",4,"Chat, Audio",1,Lack of a quiet or suitable study environment,4,"Setting specific goals and deadlines, Establishing a routine or schedule, Seeking support from classmates or peers",3,"Implementing more interactive activities (quizzes, polls, group discussions), Offering regular feedback and communication from teachers",Online
2/11/2024 18:42:36,23CS049,CSE,3,4,"Zoom, Microsoft Teams, Google Meet, Cisco",3,"Live polls and quizzes, Breakout group discussions, Interactive chat sessions, Virtual hands-raising or participation features, Encouraging audio/video contributions, Q&A sessions, Providing opportunities for student presentations",4,"Chat, Audio, Audio & Video Both",4,"Poor internet connection, Technical issues with devices, Limited access to course materials or resources",4,"Taking regular breaks, Seeking support from classmates or peers, Participating in virtual study groups",4,"Implementing more interactive activities (quizzes, polls, group discussions), Encouraging more student participation through audio/video features, Providing clearer instructions and guidelines for online interactions, Organizing smaller breakout sessions for focused discussions",Offline
2/11/2024 19:01:55,21CS029,CSE,5,3,Microsoft Teams,2,"Interactive chat sessions, Virtual hands-raising or participation features",5,"Chat, Audio, Audio & Video Both",3,Limited access to course materials or resources,2,"Creating a dedicated study space, Establishing a routine or schedule",3,"Encouraging more student participation through audio/video features, Organizing smaller breakout sessions for focused discussions",Online
2/11/2024 19:05:59,22cs058,CSE,4,4,Zoom,3,"Live polls and quizzes, Interactive chat sessions, Virtual hands-raising or participation features, Collaborative online documents or projects",3,Audio & Video Both,4,"Poor internet connection, Lack of a quiet or suitable study environment, Shyness or reluctance to speak in an online setting, Lack of interaction opportunities created by teachers",4,"Setting specific goals and deadlines, Taking regular breaks, Participating in virtual study groups",3,"Encouraging more student participation through audio/video features, Providing clearer instructions and guidelines for online interactions",Offline
2/11/2024 19:27:09,23BCA369,BCA ,4,4,Zoom,3,"Breakout group discussions, Virtual hands-raising or participation features, Encouraging audio/video contributions, Providing opportunities for student presentations",2,"Chat, Audio",4,"Poor internet connection, Lack of a quiet or suitable study environment, Shyness or reluctance to speak in an online setting, Limited access to course materials or resources",3,"Setting specific goals and deadlines, Creating a dedicated study space, Taking regular breaks, Establishing a routine or schedule, Seeking support from classmates or peers",4,"Implementing more interactive activities (quizzes, polls, group discussions), Encouraging more student participation through audio/video features, Providing clearer instructions and guidelines for online interactions, Organizing smaller breakout sessions for focused discussions, Offering regular feedback and communication from teachers",Online
2/11/2024 20:28:34,21cs006,CSE,2,2,Microsoft Teams,1,Interactive chat sessions,2,Chat,1,"Poor internet connection, Technical issues with devices, Lack of a quiet or suitable study environment, Shyness or reluctance to speak in an online setting, Limited access to course materials or resources, Other commitments or responsibilities, Lack of interaction opportunities created by teachers",3,"Setting specific goals and deadlines, Creating a dedicated study space, Taking regular breaks, Establishing a routine or schedule, Seeking support from classmates or peers, Participating in virtual study groups",5,"Implementing more interactive activities (quizzes, polls, group discussions), Encouraging more student participation through audio/video features, Providing clearer instructions and guidelines for online interactions, Organizing smaller breakout sessions for focused discussions, Offering regular feedback and communication from teachers",Offline
